learn_rate,batch_size,epochs,optimizer,loss_function,accuracy
0.00002,32,3,AdamW,BCEWithLogitsLoss(),0.7967740000000000
0.00001,32,3,AdamW,BCEWithLogitsLoss(),0.7935480000000000
0.00002,32,3,AdamP,None,0.7935480000000000
0.00002,32,2,AdamW,None,0.7935480000000000
0.00001,32,2,AdamW,None,0.7903230000000000
0.00001,32,5,AdamP,BCEWithLogitsLoss(),0.7903230000000000
0.00001,32,5,AdamP,None,0.7903230000000000
0.00003,32,2,AdamW,None,0.7903230000000000
0.00003,32,3,AdamW,BCEWithLogitsLoss(),0.7887100000000000
0.00002,32,3,AdamW,None,0.7887100000000000
0.00001,32,2,AdamP,None,0.7870970000000000
0.00001,32,2,AdamW,BCEWithLogitsLoss(),0.7870970000000000
0.00001,16,5,AdamW,BCEWithLogitsLoss(),0.7870970000000000
0.00001,32,2,AdamP,BCEWithLogitsLoss(),0.7870970000000000
0.00001,16,3,AdamW,BCEWithLogitsLoss(),0.7838710000000000
0.00001,32,5,AdamW,BCEWithLogitsLoss(),0.7838710000000000
0.00002,32,2,AdamP,None,0.7838710000000000
0.00003,32,3,AdamP,None,0.7838710000000000
0.00002,32,3,AdamP,BCEWithLogitsLoss(),0.7838710000000000
0.00002,32,2,AdamW,BCEWithLogitsLoss(),0.7838710000000000
0.00002,32,2,AdamP,BCEWithLogitsLoss(),0.7838710000000000
0.00001,32,5,AdamW,None,0.7838710000000000
0.00003,32,2,AdamP,BCEWithLogitsLoss(),0.782258000000000
0.00003,32,2,AdamP,None,0.782258000000000
0.00003,32,2,AdamW,BCEWithLogitsLoss(),0.782258000000000
0.00002,32,5,AdamP,None,0.782258000000000
0.00002,32,5,AdamP,BCEWithLogitsLoss(),0.782258000000000
0.00001,32,3,AdamW,None,0.7806450000000000
0.00001,32,3,AdamP,BCEWithLogitsLoss(),0.7806450000000000
0.00001,32,3,AdamP,None,0.7806450000000000
0.00003,32,3,AdamP,BCEWithLogitsLoss(),0.7806450000000000
0.00002,16,3,AdamW,BCEWithLogitsLoss(),0.7790319999999999
0.00003,32,3,AdamW,None,0.7774190000000000
0.00002,16,5,AdamW,BCEWithLogitsLoss(),0.7741940000000000
0.00003,16,3,AdamW,BCEWithLogitsLoss(),0.7741940000000000
0.00002,32,5,AdamW,BCEWithLogitsLoss(),0.7709680000000000
0.00002,32,5,AdamW,None,0.7709680000000000
0.00003,32,5,AdamW,BCEWithLogitsLoss(),0.7677420000000000
0.00003,32,5,AdamW,None,0.7677420000000000
0.00003,32,5,AdamP,None,0.7629030000000000
0.00003,32,5,AdamP,BCEWithLogitsLoss(),0.7629030000000000
0.00003,16,5,AdamW,BCEWithLogitsLoss(),0.7596770000000000

