lr,batch_size,weight_decay,epochs,accuracy
2e-05,16,0.01,1,0.7903225806451613
2e-05,16,0.0,1,0.7903225806451613
2e-05,16,0.0,2,0.785483870967742
2e-05,16,0.01,2,0.785483870967742
3e-05,32,0.0,2,0.7806451612903226
3e-05,16,0.01,1,0.7806451612903226
3e-05,16,0.0,1,0.7806451612903226
3e-05,32,0.01,2,0.7806451612903226
1e-05,8,0.0,2,0.7806451612903226
1e-05,8,0.01,2,0.7806451612903226
1e-05,16,0.01,1,0.7790322580645161
1e-05,16,0.01,3,0.7790322580645161
1e-05,16,0.0,3,0.7790322580645161
1e-05,16,0.0,1,0.7790322580645161
1e-05,16,0.01,4,0.7774193548387097
1e-05,16,0.0,4,0.7774193548387097
2e-05,32,0.01,2,0.7774193548387097
2e-05,32,0.0,2,0.7774193548387097
1e-05,32,0.01,1,0.7741935483870968
1e-05,32,0.0,4,0.7741935483870968
1e-05,32,0.0,1,0.7741935483870968
1e-05,32,0.0,2,0.7741935483870968
2e-05,32,0.0,1,0.7741935483870968
2e-05,32,0.0,3,0.7741935483870968
1e-05,8,0.0,1,0.7741935483870968
1e-05,8,0.01,1,0.7741935483870968
2e-05,8,0.0,1,0.7741935483870968
2e-05,8,0.01,1,0.7741935483870968
3e-05,32,0.01,3,0.7741935483870968
3e-05,32,0.0,3,0.7741935483870968
2e-05,32,0.01,3,0.7741935483870968
2e-05,32,0.01,1,0.7741935483870968
1e-05,32,0.01,2,0.7741935483870968
1e-05,32,0.01,4,0.7741935483870968
3e-05,32,0.0,1,0.7725806451612903
3e-05,32,0.01,1,0.7725806451612903
1e-05,16,0.01,5,0.7709677419354839
1e-05,16,0.01,2,0.7709677419354839
1e-05,16,0.0,5,0.7709677419354839
1e-05,16,0.0,2,0.7709677419354839
3e-05,8,0.0,1,0.7709677419354839
1e-05,32,0.0,3,0.7709677419354839
3e-05,8,0.01,1,0.7709677419354839
3e-05,16,0.0,2,0.7709677419354839
1e-05,32,0.01,3,0.7709677419354839
3e-05,16,0.01,2,0.7709677419354839
2e-05,16,0.01,4,0.7693548387096775
2e-05,16,0.0,5,0.7693548387096775
2e-05,16,0.01,5,0.7693548387096775
2e-05,16,0.0,4,0.7693548387096775
2e-05,16,0.0,3,0.7677419354838709
2e-05,16,0.01,3,0.7677419354838709
1e-05,32,0.0,5,0.7677419354838709
1e-05,32,0.01,5,0.7677419354838709
3e-05,8,0.0,2,0.7645161290322581
3e-05,16,0.01,3,0.7645161290322581
3e-05,16,0.0,3,0.7645161290322581
3e-05,8,0.01,2,0.7645161290322581
2e-05,8,0.01,5,0.7612903225806451
2e-05,8,0.0,5,0.7612903225806451
3e-05,32,0.01,4,0.7612903225806451
3e-05,32,0.0,4,0.7612903225806451
3e-05,32,0.01,5,0.7612903225806451
2e-05,32,0.01,4,0.7612903225806451
2e-05,32,0.01,5,0.7612903225806451
3e-05,32,0.0,5,0.7612903225806451
2e-05,32,0.0,5,0.7612903225806451
2e-05,32,0.0,4,0.7612903225806451
1e-05,8,0.0,5,0.7596774193548387
1e-05,8,0.01,3,0.7596774193548387
1e-05,8,0.01,4,0.7596774193548387
1e-05,8,0.01,5,0.7596774193548387
1e-05,8,0.0,4,0.7596774193548387
1e-05,8,0.0,3,0.7596774193548387
2e-05,8,0.0,2,0.7580645161290323
2e-05,8,0.0,3,0.7580645161290323
2e-05,8,0.01,3,0.7580645161290323
2e-05,8,0.01,2,0.7580645161290323
3e-05,8,0.01,5,0.7580645161290323
2e-05,8,0.01,4,0.7548387096774194
2e-05,8,0.0,4,0.7548387096774194
3e-05,8,0.0,3,0.7516129032258064
3e-05,16,0.0,5,0.7483870967741936
3e-05,8,0.01,3,0.7451612903225806
3e-05,16,0.01,4,0.7451612903225806
3e-05,16,0.0,4,0.7451612903225806
3e-05,16,0.01,5,0.7451612903225806
3e-05,8,0.0,4,0.7354838709677419
3e-05,8,0.01,4,0.7322580645161291
3e-05,8,0.0,5,0.7290322580645161
